"date","long","lat","species","BAPos","jackalCount"
2009-01-02,NA,NA,"DB","NEG",NA
2009-01-03,15.92047,-19.14722,"EB","POS",NA
2009-01-03,15.91895,-19.168,"EB","POS",NA
2009-01-05,15.924,-19.20392,"GC","",NA
2009-01-05,16.90816,-18.7918,"PL","",NA
2009-01-05,16.90816,-18.7918,"PL","",NA
2009-01-17,15.81917,-19.07323,"EB","NEG",NA
2009-01-17,15.71472,-19.10052,"SC","NEG",NA
2009-01-19,15.8726,-19.1337,"AM","POS",NA
2009-01-20,15.84456,-19.09293,"AM","POS",2
2009-01-21,NA,NA,"AM","POS",NA
2009-01-21,NA,NA,"AM","POS",NA
2009-01-23,15.79074,-19.09711,"CT","POS",NA
2009-01-23,15.83638,-19.09008,"EB","POS",NA
2009-01-25,NA,NA,"EB","",NA
2009-02-04,NA,NA,"EB","NEG",NA
2009-02-07,15.82411,-19.03342,"AM","NEG",2
2009-02-11,16.9016,-18.84422,"PA","",NA
2009-02-25,15.85331,-19.0302,"EB","POS",NA
2009-02-26,16.09939,-19.11093,"DB","NEG",NA
2009-03-01,15.87239,-19.13438,"EB","POS",12
2009-03-02,15.63744,-19.09377,"AM","POS",4
2009-03-03,15.84091,-19.09563,"AM","NEG",2
2009-03-03,15.90917,-19.1554,"AM","NEG",8
2009-03-03,15.84101,-19.09592,"EB","POS",NA
2009-03-03,15.82605,-19.08069,"UNK","",NA
2009-03-05,15.62143,-19.07793,"UNK","",5
2009-03-06,15.77473,-19.03263,"EB","NEG",1
2009-03-07,15.85577,-19.12365,"AM","POS",2
2009-03-07,15.80098,-19.08864,"EB","NEG",1
2009-03-07,15.80098,-19.08864,"UNK","",NA
2009-03-08,15.79432,-19.09814,"AM","POS",2
2009-03-11,15.81082,-19.07509,"EB","POS",NA
2009-03-11,15.91453,-19.16692,"Veranus","NEG",4
2009-03-12,15.76334,-19.09502,"EB","POS",1
2009-03-15,15.72985,-19.1002,"EB","NEG",NA
2009-03-17,15.91879,-19.17743,"","NEG",NA
2009-03-18,15.82306,-19.08896,"CC","NEG",1
2009-03-18,15.82425,-19.08862,"EB","POS",NA
2009-03-19,15.81405,-19.0691,"EB","NEG",4
2009-03-23,15.91659,-19.17378,"AM","NEG",1
2009-03-24,15.84615,-19.10555,"AM","NEG",1
2009-03-24,15.80683,-19.07371,"EB","POS",8
2009-03-25,15.85332,-19.11258,"EB","NEG",13
2009-03-26,15.8885,-19.14892,"AM","POS",4
2009-03-27,15.7391,-19.06526,"EB","POS",NA
2009-03-27,16.77041,-18.80393,"RC","",NA
2009-03-30,15.58618,-19.05018,"EB","NEG",NA
2009-04-01,15.68162,-19.09916,"EB","POS",NA
2009-04-02,15.62106,-19.07217,"EB","",NA
2009-04-04,16.90813,-18.79185,"","POS",NA
2009-04-05,15.58834,-19.08462,"EB","POS",NA
2009-04-05,15.61783,-19.10619,"EB","POS",NA
2009-04-06,15.88079,-19.14954,"EB","POS",NA
2009-04-07,15.91164,-19.14945,"EB","NEG",NA
2009-04-07,15.77678,-19.09513,"EB","POS",NA
2009-04-07,15.77769,-19.09373,"EB","POS",NA
2009-04-07,15.60319,-19.10922,"EB","NEG",NA
2009-04-07,15.59578,-19.09433,"EB","NEG",NA
2009-04-08,15.77854,-19.09339,"EB","POS",1
2009-04-09,15.80574,-19.08321,"EB","POS",NA
2009-04-09,15.76564,-19.00589,"EB","",NA
2009-04-09,15.76596,-19.00544,"EB","POS",NA
2009-04-10,15.91089,-19.14178,"EB","POS",4
2009-04-10,15.91969,-19.13836,"EB","POS",3
2009-04-11,15.80314,-19.08005,"EB","NEG",NA
2009-04-11,15.76082,-19.08737,"EB","POS",NA
2009-04-11,15.75379,-19.10395,"EB","POS",NA
2009-04-12,15.90156,-19.15327,"EB","NEG",NA
2009-04-13,15.87283,-19.13571,"EB","NEG",1
2009-04-14,15.89316,-19.11753,"EB","POS",3
2009-04-14,15.91117,-19.17182,"EB","NEG",NA
2009-04-15,NA,NA,"","NEG",NA
2009-04-15,15.89726,-19.1513,"EB","POS",NA
2009-04-16,15.78785,-19.0365,"EB","POS",NA
2009-04-16,15.71938,-19.02256,"EB","NEG",NA
2009-04-17,15.86683,-19.12902,"EB","POS",5
2009-04-19,15.83291,-19.05655,"EB","POS",NA
2009-04-21,15.91121,-19.17187,"EB","NEG",NA
2009-04-22,16.05498,-19.2238,"EB","POS",NA
2009-04-23,15.85581,-19.11469,"EB","POS",8
2009-04-23,15.87101,-19.08017,"EB","NEG",6
2009-04-24,15.90304,-19.14299,"AM","POS",NA
2009-04-24,15.75974,-19.08868,"AM","POS",NA
2009-04-24,15.90221,-19.14528,"EB","POS",21
2009-04-27,15.75285,-19.06979,"AM","POS",NA
2009-04-27,15.77878,-19.0939,"EB","NEG",NA
2009-05-03,15.99763,-19.1628,"EB","",NA
2009-05-04,15.93834,-19.31361,"EB","POS",NA
2009-05-05,15.85554,-18.99456,"EB","POS",NA
2009-05-07,15.90895,-19.15664,"CT","POS",NA
2009-05-14,16.03476,-19.23606,"EB","POS",6
2009-05-18,16.0588,-19.21352,"AM","NEG",6
2009-05-19,NA,NA,"CM","",1
2009-05-20,15.81981,-19.07442,"PL","NEG",NA
2009-05-21,16.05864,-19.21282,"AM","",21
2009-05-22,15.9197,-19.15528,"AM","POS",4
2009-05-22,15.9211,-19.15914,"AM","POS",10
2009-05-26,15.83269,-19.09287,"EB","POS",14
2009-06-01,15.98219,-19.196,"CM","",3
2009-06-01,15.9106,-19.1757,"UNK","",NA
2009-06-04,16.38416,-19.00212,"AM","POS",1
2009-06-04,15.52929,-19.20679,"EB","NEG",NA
2009-06-06,15.87778,-19.14657,"EB","POS",8
2009-06-15,NA,NA,"GG","",NA
2009-06-16,14.7632,-18.964,"EB","POS",NA
2009-06-18,15.86562,-18.99271,"EB","NEG",5
2009-06-23,15.73881,-19.09751,"EB","POS",10
2009-06-24,15.93755,-19.31237,"GC","",NA
2009-06-25,15.90963,-19.16942,"AM","NEG",3
2009-06-26,16.0065,-19.23756,"AM","POS",5
2009-06-26,NA,NA,"AM","POS",NA
2009-06-26,15.9179,-19.1923,"CM","",NA
2009-06-30,15.9152,-19.1809,"EB","",6
2009-06-30,15.8563,-19.1127,"UNK","",2
2009-07-01,15.78168,-18.99584,"AM","NEG",3
2009-07-03,15.7936,-19.09162,"AM","POS",2
2009-07-03,16.92193,-18.80185,"AM","NEG",2
2009-07-07,15.86736,-19.03346,"AM","NEG",6
2009-07-07,16.05936,-19.2187,"AM","",22
2009-07-07,15.86697,-19.12909,"EB","POS",2
2009-07-16,15.90647,-19.15668,"EB","POS",9
2009-07-16,16.17052,-19.21496,"LA","POS",NA
2009-07-18,15.90949,-19.15687,"AM","NEG",8
2009-07-20,15.96388,-19.15357,"EB","",NA
2009-07-26,16.05888,-19.21333,"LA","POS",30
2009-07-29,15.87436,-19.14034,"AM","NEG",2
2009-08-06,15.32299,-18.9636,"LA","NEG",NA
2009-08-25,15.93621,-19.18118,"EB","POS",20
2009-08-27,15.86666,-18.99299,"GC","",2
2009-09-01,15.91874,-19.1863,"EB","POS",6
2009-09-14,15.89878,-19.13699,"EB","POS",2
2009-09-14,15.91074,-19.17114,"GC","NEG",0
2009-09-14,16.05445,-19.21141,"EB","POS",9
2009-09-21,15.85847,-19.11822,"EB","POS",1
2009-09-23,15.83584,-19.08954,"AM","NEG",1
2009-09-26,16.08639,-19.11891,"CM","",0
2009-09-29,15.81857,-19.08839,"EB","POS",0
2009-09-29,15.87293,-19.08922,"EB","POS",5
2009-09-29,15.60271,-19.06392,"CM","",0
2009-09-30,14.65612,-19.13675,"EB","",0
2009-10-01,15.91338,-19.16214,"EB","POS",40
2009-10-01,14.61131,-18.95088,"OG","NEG",0
2009-10-07,15.50385,-18.97577,"LA","NEG",0
2009-10-08,16.25335,-19.0464,"CC","NEG",0
2009-10-11,15.96265,-19.3277,"CC","",0
2009-10-16,14.52997,-19.33827,"AMP","NEG",0
2009-10-22,16.2923,-19.07784,"EB","NEG",0
2009-11-03,15.503,-18.978,"DB","NEG",0
2009-11-10,15.83757,-19.06005,"EB","NEG",0
2009-11-15,15.91429,-19.18262,"EB","POS",0
2009-11-18,15.68252,-19.09384,"EB","POS",1
2009-11-19,15.78978,-19.08668,"EB","POS",5
2009-11-19,NA,NA,"AM","POS",2
2009-11-20,15.85836,-19.11855,"EB","POS",1
2009-11-30,15.977,-19.16334,"OG","NEG",0
2009-12-01,15.92048,-19.17517,"AM","POS",0
2009-12-03,16.08902,-19.12235,"EB","POS",0
2009-12-08,15.91345,-19.18437,"DB","",NA
2009-12-09,15.82127,-19.07697,"EB","NEG",0
2009-12-13,15.93871,-19.17583,"EB","POS",6
2009-12-21,15.87798,-19.14612,"AM","NEG",2
2010-01-05,15.99569,-19.16206,"EB","NEG",0
2010-01-08,16.01366,-19.16509,"GC","NEG",1
2010-01-15,15.84087,-19.06132,"EB","POS",4
2010-01-21,NA,NA,"CC","NEG",0
2010-02-01,15.88525,-19.09402,"EB","NEG",3
2010-02-01,15.9297,-19.17539,"EB","NEG",18
2010-02-01,15.73948,-19.00353,"AM","POS",0
2010-02-01,15.88006,-19.0749,"CC","NEG",0
2010-02-02,15.91423,-19.18543,"EB","NEG",1
2010-02-02,15.915,-19.185,"EB","NEG",0
2010-02-02,15.91785,-19.17084,"EB","NEG",1
2010-02-02,16.038,-19.184,"EB","NEG",2
2010-02-02,15.90212,-19.16274,"EB","NEG",1
2010-02-02,15.83916,-19.04174,"EB","POS",3
2010-02-02,15.78185,-18.98694,"EB","NEG",0
2010-02-03,15.9242,-19.14556,"CM","NEG",0
2010-02-03,15.8722,-19.15907,"EB","POS",0
2010-02-03,15.89946,-19.1605,"EB","POS",1
2010-02-03,15.89743,-19.15298,"EB","POS",0
2010-02-03,15.90059,-19.16338,"EB","POS",1
2010-02-03,15.90474,-19.14384,"EB","POS",0
2010-02-03,15.90958,-19.13396,"EB","POS",0
2010-02-03,15.91087,-19.1514,"EB","POS",0
2010-02-04,15.90256,-19.15227,"EB","NEG",0
2010-02-04,15.86308,-19.13946,"EB","POS",0
2010-02-04,15.85084,-19.04961,"EB","POS",0
2010-02-04,15.87785,-19.14053,"EB","POS",0
2010-02-05,15.89701,-19.1493,"EB","POS",0
2010-02-05,15.92699,-19.15362,"EB","POS",0
2010-02-07,16.03861,-19.24468,"EB","POS",0
2010-02-08,15.90784,-19.1459,"AM","POS",3
2010-02-08,16.05832,-19.21319,"EB","SUSP",1
2010-02-08,16.03286,-19.20287,"EB","POS",0
2010-02-09,16.00422,-19.23631,"EB","",NA
2010-02-09,15.80898,-19.00997,"AM","POS",NA
2010-02-09,15.83501,-19.09763,"EB","POS",2
2010-02-12,16.05186,-19.21005,"CT","NEG",0
2010-02-15,16.00275,-19.2469,"EB","",9
2010-02-15,15.78642,-19.09794,"EB","POS",0
2010-02-15,15.62898,-19.09151,"EB","",NA
2010-02-18,15.65883,-18.99942,"EB","POS",0
2010-02-19,15.84499,-19.05876,"EB","POS",2
2010-02-19,15.87553,-19.13551,"EB","POS",2
2010-02-19,15.89706,-19.14844,"EB","POS",1
2010-02-19,15.87706,-19.15041,"EB","NEG",1
2010-02-19,15.85481,-18.99446,"EB","NEG",0
2010-02-19,15.87625,-19.06463,"EB","POS",0
2010-02-20,15.8684,-19.14515,"AM","NEG",0
2010-02-21,15.8867,-19.1019,"EB","POS",30
2010-02-21,15.8682,-18.99453,"EB","NEG",0
2010-02-21,15.88766,-19.08253,"EB","NEG",3
2010-02-21,15.86547,-19.12769,"EB","POS",2
2010-02-21,16.0588,-19.2135,"AM","NEG",17
2010-02-22,15.88347,-19.1168,"EB","POS",NA
2010-02-22,15.8743,-19.12025,"EB","NEG",1
2010-02-22,15.85176,-19.04072,"EB","NEG",1
2010-02-22,15.8873,-19.07404,"EB","POS",2
2010-02-23,16.0378,-19.20326,"AM","",NA
2010-02-24,15.90608,-19.15133,"CT","POS",10
2010-02-24,15.89271,-19.13672,"EB","NEG",1
2010-02-24,15.81371,-19.07985,"EB","POS",2
2010-02-24,15.8055,-19.00406,"EB","POS",0
2010-02-24,15.85518,-19.04361,"EB","NEG",0
2010-02-24,15.87159,-19.04969,"AM","POS",NA
2010-02-25,15.97661,-19.23135,"EB","POS",0
2010-02-28,15.92603,-19.1731,"EB","POS",4
2010-03-01,15.72572,-19.02759,"EB","POS",1
2010-03-01,15.6329,-19.0894,"EB","POS",2
2010-03-01,15.86779,-19.16129,"EB","NEG",NA
2010-03-02,15.72663,-19.03273,"EB","POS",0
2010-03-02,15.59429,-19.08973,"UNK","NEG",0
2010-03-03,15.87727,-19.06718,"CM","NEG",0
2010-03-04,15.8884,-19.15405,"EB","NEG",NA
2010-03-06,15.72246,-19.02586,"EB","POS",3
2010-03-07,15.90086,-19.15613,"OG","",5
2010-03-08,15.73409,-19.03633,"EB","NEG",2
2010-03-09,15.74955,-18.9923,"AM","NEG",2
2010-03-09,15.82049,-19.0644,"AM","",1
2010-03-11,15.94109,-19.17871,"EB","POS",NA
2010-03-11,15.90062,-19.14705,"EB","NEG",NA
2010-03-12,15.92228,-19.21503,"OG","",0
2010-03-12,15.81125,-19.06665,"AM","NEG",2
2010-03-16,15.84078,-19.05791,"EB","NEG",6
2010-03-16,15.80549,-18.99375,"UNK","",1
2010-03-16,15.8203,-19.00595,"UNK","",0
2010-03-17,15.89724,-19.14442,"EB","POS",4
2010-03-17,15.88974,-19.13489,"EB","POS",4
2010-03-18,15.89735,-19.14486,"CM","NEG",3
2010-03-19,15.89299,-19.1208,"EB","NEG",1
2010-03-19,15.87062,-19.12855,"EB","POS",0
2010-03-20,15.89415,-19.13698,"EB","NEG",0
2010-03-20,15.8942,-19.14061,"EB","POS",1
2010-03-20,15.75249,-19.00238,"AM","NEG",9
2010-03-21,15.92669,-19.15655,"EB","POS",4
2010-03-22,15.8744,-19.11276,"AM","NEG",2
2010-03-22,15.87368,-19.08684,"AM","NEG",0
2010-03-22,15.86828,-18.99552,"EB","NEG",2
2010-03-23,15.91573,-19.1524,"EB","POS",1
2010-03-23,15.9036,-19.15454,"EB","POS",6
2010-03-23,15.84835,-19.03725,"EB","POS",3
2010-03-23,15.82602,-19.04075,"EB","NEG",0
2010-03-23,15.78972,-19.03592,"EB","POS",0
2010-03-23,15.78214,-19.0917,"EB","POS",1
2010-03-23,15.87536,-19.13235,"EB","POS",5
2010-03-23,15.82765,-19.03808,"AM","NEG",0
2010-03-23,15.82822,-19.03311,"AM","POS",NA
2010-03-23,15.82522,-19.02203,"unknown turtle","",0
2010-03-24,15.92114,-19.1589,"EB","POS",0
2010-03-24,15.84316,-19.1076,"AM","POS",0
2010-03-24,15.92365,-19.1438,"CT","POS",5
2010-03-25,15.9972,-19.20123,"UNK","NEG",NA
2010-03-25,15.98131,-19.13965,"UNK","",NA
2010-03-25,15.91475,-19.18204,"EB","NEG",0
2010-03-25,15.86481,-19.00078,"EB","POS",0
2010-03-25,15.86077,-19.00012,"EB","POS",5
2010-03-29,15.93397,-19.17552,"GC","NEG",2
2010-03-30,15.7725,-19.09312,"EB","POS",0
2010-03-30,15.74563,-19.06565,"EB","NEG",0
2010-03-30,15.7679,-18.99822,"EB","POS",1
2010-03-30,15.76795,-19.00068,"AM","NEG",5
2010-03-31,15.8344,-19.05238,"EB","POS",0
2010-03-31,15.79648,-19.0785,"EB","POS",23
2010-04-02,15.76116,-19.00135,"AM","POS",3
2010-04-02,15.73887,-19.05799,"EB","NEG",0
2010-04-05,15.85286,-19.04033,"EB","NEG",0
2010-04-06,15.78315,-18.99571,"EB","POS",0
2010-04-08,15.9146,-19.18451,"EB","POS",NA
2010-04-08,15.8128,-19.13366,"EB","SUS",6
2010-04-08,15.80868,-19.12819,"EB","POS",NA
2010-04-08,15.85363,-19.13965,"EB","POS",NA
2010-04-08,15.8943,-19.18887,"DB","NEG",NA
2010-04-09,15.80402,-19.07938,"EB","POS",1
2010-04-09,15.91486,-19.16195,"AM","POS",3
2010-04-09,15.94178,-19.17513,"EB","POS",NA
2010-04-09,15.80708,-19.08,"EB","POS",NA
2010-04-09,16.07406,-19.20231,"OG","NEG",NA
2010-04-09,15.80718,-19.08245,"AM","NEG",NA
2010-04-11,15.82425,-19.03278,"AM","POS",0
2010-04-11,15.76551,-19.00214,"EB","POS",1
2010-04-11,15.78449,-19.10099,"EB","POS",1
2010-04-12,15.77623,-19.09549,"EB","POS",5
2010-04-13,15.74361,-19.09685,"EB","POS",0
2010-04-13,16.20448,-19.06152,"DB","POS",0
2010-04-13,15.61736,-19.10624,"EB","POS",1
2010-04-13,15.64874,-19.089231,"CT","POS",3
2010-04-14,15.88984,-19.13827,"OM","NEG",0
2010-04-14,15.8895,-19.12326,"OG","NEG",NA
2010-04-14,15.86141,-19.1274,"CT","POS",NA
2010-04-14,15.88947,-19.12364,"EB","POS",NA
2010-04-14,15.7741,-19.03227,"EB","POS",NA
2010-04-14,15.77441,-19.08226,"EB","POS",NA
2010-04-15,15.57603,-19.08066,"AM","NEG",1
2010-04-15,15.77716,-19.10274,"AM","POS",NA
2010-04-15,15.77444,-19.09879,"EB","POS",NA
2010-04-15,15.76788,-19.10069,"EB","POS",NA
2010-04-15,15.77649,-19.106,"EB","POS",NA
2010-04-16,15.99052,-19.18473,"MC","NEG",NA
2010-04-16,15.7579,-19.00747,"EB","POS",NA
2010-04-16,15.76518,-19.00521,"AM","NEG",NA
2010-04-17,15.87187,-19.14573,"AM","POS",0
2010-04-21,15.87701,-19.16576,"EB","POS",NA
2010-04-21,15.77305,-19.11037,"EB","POS",0
2010-04-23,15.87918,-19.07237,"EB","POS",0
2010-04-23,15.90309,-19.13522,"EB","POS",4
2010-04-24,15.91538,-19.16952,"CT","POS",1
2010-04-27,15.91106,-19.17334,"EB","POS",0
2010-04-28,15.81881,-18.99226,"CT","POS",0
2010-04-28,15.88413,-19.14533,"CT","NEG",0
2010-04-28,15.69612,-19.09108,"AM","POS",5
2010-05-01,15.94272,-19.29743,"EB","POS",6
2010-05-02,15.89043,-19.11144,"EB","POS",1
2010-05-02,15.92294,-19.21954,"EB","NEG",1
2010-05-03,15.91031,-19.15788,"EB","POS",0
2010-05-04,15.92481,-19.14701,"AM","POS",15
2010-05-06,15.84758,-19.10249,"AM","POS",7
2010-05-10,15.87757,-19.16484,"EB","POS",5
2010-05-17,15.87043,-19.14513,"AM","",2
2010-05-17,15.97279,-19.2116,"LA","",0
2010-05-20,15.923,-19.15037,"EB","NEG",0
2010-05-25,16.03015,-19.174,"EB","POS",0
2010-05-27,15.90905,-19.12952,"CC","",0
2010-05-27,15.99032,-19.16175,"AM","",0
2010-05-31,15.97899,-19.23096,"EB","POS",0
2010-06-02,16.0317,-19.24756,"EB","POS",3
2010-06-03,15.98114,-19.21178,"AM","POS",7
2010-06-03,16.0517,-19.24527,"EB","POS",2
2010-06-06,16.19346,-19.20536,"LA","NEG",0
2010-06-07,16.03596,-19.24405,"EB","NEG",0
2010-06-07,16.05831,-19.21995,"EB","POS",3
2010-06-07,16.05497,-19.22221,"EB","POS",2
2010-06-07,16.05785,-19.21745,"EB","POS",0
2010-06-09,16.06101,-19.22007,"CM or OM","",0
2010-06-14,16.04884,-19.14434,"EB","POS",0
2010-06-15,16.03526,-19.24326,"EB","",6
2010-06-16,16.05913,-19.21343,"AM","",2
2010-06-17,16.04058,-19.20265,"EB","",0
2010-06-18,15.93334,-19.18136,"EB","NEG",10
2010-06-21,16.03191,-19.23617,"EB","POS",0
2010-06-21,16.05861,-19.21384,"DBB","NEG",0
2010-06-22,15.91314,-19.18444,"EB","NEG",10
2010-06-22,16.27213,-19.05848,"EB","POS",2
2010-06-25,16.05469,-19.22257,"EB","NEG",12
2010-06-28,16.05861,-19.21175,"EB","POS",0
2010-07-06,16.05437,-19.24836,"EB","POS",0
2010-07-06,16.06105,-19.24677,"UNK","",0
2010-07-06,16.05478,-19.22244,"EB","POS",0
2010-07-07,16.06096,-19.22412,"EB","POS",0
2010-07-07,16.05928,-19.20316,"EB","",2
2010-07-08,16.04876,-19.23723,"AM","POS",14
2010-07-09,16.04656,-19.21069,"UNK","",10
2010-07-14,16.15526,-19.06112,"EB","POS",1
2010-07-15,16.15398,-19.05761,"EB","NEG",0
2010-07-19,16.01112,-19.19307,"EB","NEG",0
2010-07-19,NA,NA,"UNK","",10
2010-07-22,NA,NA,"TS","",NA
2010-07-23,15.92123,-19.18448,"AM","NEG",1
2010-07-26,15.91694,-19.18848,"LA","POS",30
2010-07-28,16.00092,-19.16069,"AM","POS",0
2010-08-01,15.92252,-19.17286,"AM","POS",0
2010-08-02,NA,NA,"TO","NEG",NA
2010-08-10,NA,NA,"AM","POS",15
2010-08-11,15.86912,-19.14599,"AM","POS",5
2010-08-28,15.91639,-19.18085,"LA","POS",1
2010-08-30,16.0224,-19.2127,"EB","POS",4
2010-08-30,16.02385,-19.21431,"EB","NEG",2
2010-09-06,15.91824,-19.18025,"EB","POS",0
2010-09-08,15.94879,-19.30994,"LA","POS",0
2010-09-16,15.93941,-19.2011,"EB","",NA
2010-09-22,15.9156,-19.16968,"EB","",0
2010-09-27,15.92971,-19.20769,"OG","",5
2010-09-29,15.87216,-19.13484,"CT","POS",0
2010-09-30,15.26144,-18.98763,"LA","",0
2010-09-30,15.25891,-18.98836,"LA","",0
2010-09-30,15.82946,-19.0857,"AM","POS",0
2010-10-09,15.87026,-18.98769,"GC","",0
2010-10-12,15.91041,-19.18585,"EB","",3
2010-10-12,15.52975,-19.01028,"LA","",2
2010-10-19,15.92314,-19.13707,"EB","",0
2010-10-19,15.93887,-19.14404,"EB","",0
2010-10-19,15.93425,-19.14408,"EB","",NA
2010-10-19,16.05602,-19.21265,"EB","",0
2010-10-19,16.03525,-19.18303,"EB","",0
2010-10-19,15.89405,-19.11757,"EB","POS",0
2010-10-21,16.05787,-19.21302,"EB","",2
2010-10-24,NA,NA,"OG","",1
2010-10-25,16.05819,-19.21868,"AM","",6
2010-10-26,15.865,-18.994,"AM","",0
2010-11-12,15.87876,-19.14791,"EB","",0
2010-11-14,16.07434,-19.24401,"Dbb","",8
